dataset,instance,n,m,file
densidad-alta,ALTA-1,1,0,instances/densidad-alta/ALTA-1.txt
densidad-alta,ALTA-2,2,1,instances/densidad-alta/ALTA-2.txt
densidad-alta,ALTA-3,3,1,instances/densidad-alta/ALTA-3.txt
densidad-alta,ALTA-4,4,2,instances/densidad-alta/ALTA-4.txt
densidad-alta,ALTA-5,5,2,instances/densidad-alta/ALTA-5.txt
densidad-alta,ALTA-6,6,3,instances/densidad-alta/ALTA-6.txt
densidad-alta,ALTA-7,7,3,instances/densidad-alta/ALTA-7.txt
densidad-alta,ALTA-8,8,4,instances/densidad-alta/ALTA-8.txt
densidad-alta,ALTA-9,9,4,instances/densidad-alta/ALTA-9.txt
densidad-alta,ALTA-10,10,5,instances/densidad-alta/ALTA-10.txt
densidad-alta,ALTA-11,11,5,instances/densidad-alta/ALTA-11.txt
densidad-alta,ALTA-12,12,6,instances/densidad-alta/ALTA-12.txt
densidad-alta,ALTA-13,13,6,instances/densidad-alta/ALTA-13.txt
densidad-alta,ALTA-14,14,7,instances/densidad-alta/ALTA-14.txt
densidad-alta,ALTA-15,15,7,instances/densidad-alta/ALTA-15.txt
densidad-alta,ALTA-16,16,8,instances/densidad-alta/ALTA-16.txt
densidad-alta,ALTA-17,17,8,instances/densidad-alta/ALTA-17.txt
densidad-alta,ALTA-18,18,9,instances/densidad-alta/ALTA-18.txt
densidad-alta,ALTA-19,19,9,instances/densidad-alta/ALTA-19.txt
densidad-alta,ALTA-20,20,10,instances/densidad-alta/ALTA-20.txt
densidad-alta,ALTA-21,21,10,instances/densidad-alta/ALTA-21.txt
densidad-alta,ALTA-22,22,11,instances/densidad-alta/ALTA-22.txt
densidad-alta,ALTA-23,23,11,instances/densidad-alta/ALTA-23.txt
densidad-alta,ALTA-24,24,12,instances/densidad-alta/ALTA-24.txt
densidad-alta,ALTA-25,25,12,instances/densidad-alta/ALTA-25.txt
densidad-alta,ALTA-26,26,13,instances/densidad-alta/ALTA-26.txt
densidad-alta,ALTA-27,27,13,instances/densidad-alta/ALTA-27.txt
densidad-alta,ALTA-28,28,14,instances/densidad-alta/ALTA-28.txt
densidad-alta,ALTA-29,29,14,instances/densidad-alta/ALTA-29.txt
densidad-alta,ALTA-30,30,15,instances/densidad-alta/ALTA-30.txt
densidad-alta,ALTA-31,31,15,instances/densidad-alta/ALTA-31.txt
densidad-alta,ALTA-32,32,16,instances/densidad-alta/ALTA-32.txt
densidad-alta,ALTA-33,33,16,instances/densidad-alta/ALTA-33.txt
densidad-alta,ALTA-34,34,17,instances/densidad-alta/ALTA-34.txt
densidad-alta,ALTA-35,35,17,instances/densidad-alta/ALTA-35.txt
densidad-alta,ALTA-36,36,18,instances/densidad-alta/ALTA-36.txt
densidad-alta,ALTA-37,37,18,instances/densidad-alta/ALTA-37.txt
densidad-alta,ALTA-38,38,19,instances/densidad-alta/ALTA-38.txt
densidad-alta,ALTA-39,39,19,instances/densidad-alta/ALTA-39.txt
densidad-alta,ALTA-40,40,20,instances/densidad-alta/ALTA-40.txt
densidad-alta,ALTA-41,41,20,instances/densidad-alta/ALTA-41.txt
densidad-alta,ALTA-42,42,21,instances/densidad-alta/ALTA-42.txt
densidad-alta,ALTA-43,43,21,instances/densidad-alta/ALTA-43.txt
densidad-alta,ALTA-44,44,22,instances/densidad-alta/ALTA-44.txt
densidad-alta,ALTA-45,45,22,instances/densidad-alta/ALTA-45.txt
densidad-alta,ALTA-46,46,23,instances/densidad-alta/ALTA-46.txt
densidad-alta,ALTA-47,47,23,instances/densidad-alta/ALTA-47.txt
densidad-alta,ALTA-48,48,24,instances/densidad-alta/ALTA-48.txt
densidad-alta,ALTA-49,49,24,instances/densidad-alta/ALTA-49.txt
densidad-alta,ALTA-50,50,25,instances/densidad-alta/ALTA-50.txt
densidad-alta,ALTA-51,51,25,instances/densidad-alta/ALTA-51.txt
densidad-alta,ALTA-52,52,26,instances/densidad-alta/ALTA-52.txt
densidad-alta,ALTA-53,53,26,instances/densidad-alta/ALTA-53.txt
densidad-alta,ALTA-54,54,27,instances/densidad-alta/ALTA-54.txt
densidad-alta,ALTA-55,55,27,instances/densidad-alta/ALTA-55.txt
densidad-alta,ALTA-56,56,28,instances/densidad-alta/ALTA-56.txt
densidad-alta,ALTA-57,57,28,instances/densidad-alta/ALTA-57.txt
densidad-alta,ALTA-58,58,29,instances/densidad-alta/ALTA-58.txt
densidad-alta,ALTA-59,59,29,instances/densidad-alta/ALTA-59.txt
densidad-alta,ALTA-60,60,30,instances/densidad-alta/ALTA-60.txt
densidad-alta,ALTA-61,61,30,instances/densidad-alta/ALTA-61.txt
