dataset,instance,n,m,file
densidad-baja,BAJA-1,1,1,instances/densidad-baja/BAJA-1.txt
densidad-baja,BAJA-2,2,1,instances/densidad-baja/BAJA-2.txt
densidad-baja,BAJA-3,3,1,instances/densidad-baja/BAJA-3.txt
densidad-baja,BAJA-4,4,3,instances/densidad-baja/BAJA-4.txt
densidad-baja,BAJA-5,5,5,instances/densidad-baja/BAJA-5.txt
densidad-baja,BAJA-6,6,7,instances/densidad-baja/BAJA-6.txt
densidad-baja,BAJA-7,7,10,instances/densidad-baja/BAJA-7.txt
densidad-baja,BAJA-8,8,14,instances/densidad-baja/BAJA-8.txt
densidad-baja,BAJA-9,9,18,instances/densidad-baja/BAJA-9.txt
densidad-baja,BAJA-10,10,22,instances/densidad-baja/BAJA-10.txt
densidad-baja,BAJA-11,11,27,instances/densidad-baja/BAJA-11.txt
densidad-baja,BAJA-12,12,33,instances/densidad-baja/BAJA-12.txt
densidad-baja,BAJA-13,13,39,instances/densidad-baja/BAJA-13.txt
densidad-baja,BAJA-14,14,45,instances/densidad-baja/BAJA-14.txt
densidad-baja,BAJA-15,15,52,instances/densidad-baja/BAJA-15.txt
densidad-baja,BAJA-16,16,60,instances/densidad-baja/BAJA-16.txt
densidad-baja,BAJA-17,17,68,instances/densidad-baja/BAJA-17.txt
densidad-baja,BAJA-18,18,76,instances/densidad-baja/BAJA-18.txt
densidad-baja,BAJA-19,19,85,instances/densidad-baja/BAJA-19.txt
densidad-baja,BAJA-20,20,95,instances/densidad-baja/BAJA-20.txt
densidad-baja,BAJA-21,21,105,instances/densidad-baja/BAJA-21.txt
densidad-baja,BAJA-22,22,115,instances/densidad-baja/BAJA-22.txt
densidad-baja,BAJA-23,23,126,instances/densidad-baja/BAJA-23.txt
densidad-baja,BAJA-24,24,138,instances/densidad-baja/BAJA-24.txt
densidad-baja,BAJA-25,25,150,instances/densidad-baja/BAJA-25.txt
densidad-baja,BAJA-26,26,162,instances/densidad-baja/BAJA-26.txt
densidad-baja,BAJA-27,27,175,instances/densidad-baja/BAJA-27.txt
densidad-baja,BAJA-28,28,189,instances/densidad-baja/BAJA-28.txt
densidad-baja,BAJA-29,29,203,instances/densidad-baja/BAJA-29.txt
densidad-baja,BAJA-30,30,217,instances/densidad-baja/BAJA-30.txt
densidad-baja,BAJA-31,31,232,instances/densidad-baja/BAJA-31.txt
densidad-baja,BAJA-32,32,248,instances/densidad-baja/BAJA-32.txt
densidad-baja,BAJA-33,33,264,instances/densidad-baja/BAJA-33.txt
densidad-baja,BAJA-34,34,280,instances/densidad-baja/BAJA-34.txt
