dataset,instance,n,m,file
dinamica,DP-1000-1000,1000,1000,instances/dinamica/DP-1000-1000.txt
dinamica,DP-1000-1500,1000,1500,instances/dinamica/DP-1000-1500.txt
dinamica,DP-1000-2000,1000,2000,instances/dinamica/DP-1000-2000.txt
dinamica,DP-1000-2500,1000,2500,instances/dinamica/DP-1000-2500.txt
dinamica,DP-1000-3000,1000,3000,instances/dinamica/DP-1000-3000.txt
dinamica,DP-1000-3500,1000,3500,instances/dinamica/DP-1000-3500.txt
dinamica,DP-1000-4000,1000,4000,instances/dinamica/DP-1000-4000.txt
dinamica,DP-1000-4500,1000,4500,instances/dinamica/DP-1000-4500.txt
dinamica,DP-1000-5000,1000,5000,instances/dinamica/DP-1000-5000.txt
dinamica,DP-1000-5500,1000,5500,instances/dinamica/DP-1000-5500.txt
dinamica,DP-1000-6000,1000,6000,instances/dinamica/DP-1000-6000.txt
dinamica,DP-1000-6500,1000,6500,instances/dinamica/DP-1000-6500.txt
dinamica,DP-1000-7000,1000,7000,instances/dinamica/DP-1000-7000.txt
dinamica,DP-1000-7500,1000,7500,instances/dinamica/DP-1000-7500.txt
dinamica,DP-1500-1000,1500,1000,instances/dinamica/DP-1500-1000.txt
dinamica,DP-1500-1500,1500,1500,instances/dinamica/DP-1500-1500.txt
dinamica,DP-1500-2000,1500,2000,instances/dinamica/DP-1500-2000.txt
dinamica,DP-1500-2500,1500,2500,instances/dinamica/DP-1500-2500.txt
dinamica,DP-1500-3000,1500,3000,instances/dinamica/DP-1500-3000.txt
dinamica,DP-1500-3500,1500,3500,instances/dinamica/DP-1500-3500.txt
dinamica,DP-1500-4000,1500,4000,instances/dinamica/DP-1500-4000.txt
dinamica,DP-1500-4500,1500,4500,instances/dinamica/DP-1500-4500.txt
dinamica,DP-1500-5000,1500,5000,instances/dinamica/DP-1500-5000.txt
dinamica,DP-1500-5500,1500,5500,instances/dinamica/DP-1500-5500.txt
dinamica,DP-1500-6000,1500,6000,instances/dinamica/DP-1500-6000.txt
dinamica,DP-1500-6500,1500,6500,instances/dinamica/DP-1500-6500.txt
dinamica,DP-1500-7000,1500,7000,instances/dinamica/DP-1500-7000.txt
dinamica,DP-1500-7500,1500,7500,instances/dinamica/DP-1500-7500.txt
dinamica,DP-2000-1000,2000,1000,instances/dinamica/DP-2000-1000.txt
dinamica,DP-2000-1500,2000,1500,instances/dinamica/DP-2000-1500.txt
dinamica,DP-2000-2000,2000,2000,instances/dinamica/DP-2000-2000.txt
dinamica,DP-2000-2500,2000,2500,instances/dinamica/DP-2000-2500.txt
dinamica,DP-2000-3000,2000,3000,instances/dinamica/DP-2000-3000.txt
dinamica,DP-2000-3500,2000,3500,instances/dinamica/DP-2000-3500.txt
dinamica,DP-2000-4000,2000,4000,instances/dinamica/DP-2000-4000.txt
dinamica,DP-2000-4500,2000,4500,instances/dinamica/DP-2000-4500.txt
dinamica,DP-2000-5000,2000,5000,instances/dinamica/DP-2000-5000.txt
dinamica,DP-2000-5500,2000,5500,instances/dinamica/DP-2000-5500.txt
dinamica,DP-2000-6000,2000,6000,instances/dinamica/DP-2000-6000.txt
dinamica,DP-2000-6500,2000,6500,instances/dinamica/DP-2000-6500.txt
dinamica,DP-2000-7000,2000,7000,instances/dinamica/DP-2000-7000.txt
dinamica,DP-2000-7500,2000,7500,instances/dinamica/DP-2000-7500.txt
dinamica,DP-2500-1000,2500,1000,instances/dinamica/DP-2500-1000.txt
dinamica,DP-2500-1500,2500,1500,instances/dinamica/DP-2500-1500.txt
dinamica,DP-2500-2000,2500,2000,instances/dinamica/DP-2500-2000.txt
dinamica,DP-2500-2500,2500,2500,instances/dinamica/DP-2500-2500.txt
dinamica,DP-2500-3000,2500,3000,instances/dinamica/DP-2500-3000.txt
