dataset,instance,n,m,file
escalera2,escalera2-50,50,1000,instances/escalera2/escalera2-50.txt
escalera2,escalera2-100,100,4000,instances/escalera2/escalera2-100.txt
escalera2,escalera2-150,150,9000,instances/escalera2/escalera2-150.txt
escalera2,escalera2-200,200,16000,instances/escalera2/escalera2-200.txt
escalera2,escalera2-250,250,25000,instances/escalera2/escalera2-250.txt
escalera2,escalera2-300,300,36000,instances/escalera2/escalera2-300.txt
escalera2,escalera2-350,350,49000,instances/escalera2/escalera2-350.txt
escalera2,escalera2-400,400,64000,instances/escalera2/escalera2-400.txt
escalera2,escalera2-450,450,81000,instances/escalera2/escalera2-450.txt
escalera2,escalera2-500,500,100000,instances/escalera2/escalera2-500.txt
