dataset,instance,n,m,file
mejor-caso-bt,BT-MC-10,10,1000,instances/mejor-caso-bt/BT-MC-10.txt
mejor-caso-bt,BT-MC-20,20,1000,instances/mejor-caso-bt/BT-MC-20.txt
mejor-caso-bt,BT-MC-30,30,1000,instances/mejor-caso-bt/BT-MC-30.txt
mejor-caso-bt,BT-MC-40,40,1000,instances/mejor-caso-bt/BT-MC-40.txt
mejor-caso-bt,BT-MC-50,50,1000,instances/mejor-caso-bt/BT-MC-50.txt
mejor-caso-bt,BT-MC-60,60,1000,instances/mejor-caso-bt/BT-MC-60.txt
mejor-caso-bt,BT-MC-70,70,1000,instances/mejor-caso-bt/BT-MC-70.txt
mejor-caso-bt,BT-MC-80,80,1000,instances/mejor-caso-bt/BT-MC-80.txt
mejor-caso-bt,BT-MC-90,90,1000,instances/mejor-caso-bt/BT-MC-90.txt
mejor-caso-bt,BT-MC-100,100,1000,instances/mejor-caso-bt/BT-MC-100.txt
mejor-caso-bt,BT-MC-110,110,1000,instances/mejor-caso-bt/BT-MC-110.txt
mejor-caso-bt,BT-MC-120,120,1000,instances/mejor-caso-bt/BT-MC-120.txt
mejor-caso-bt,BT-MC-130,130,1000,instances/mejor-caso-bt/BT-MC-130.txt
mejor-caso-bt,BT-MC-140,140,1000,instances/mejor-caso-bt/BT-MC-140.txt
mejor-caso-bt,BT-MC-150,150,1000,instances/mejor-caso-bt/BT-MC-150.txt
mejor-caso-bt,BT-MC-160,160,1000,instances/mejor-caso-bt/BT-MC-160.txt
mejor-caso-bt,BT-MC-170,170,1000,instances/mejor-caso-bt/BT-MC-170.txt
mejor-caso-bt,BT-MC-180,180,1000,instances/mejor-caso-bt/BT-MC-180.txt
mejor-caso-bt,BT-MC-190,190,1000,instances/mejor-caso-bt/BT-MC-190.txt
mejor-caso-bt,BT-MC-200,200,1000,instances/mejor-caso-bt/BT-MC-200.txt
mejor-caso-bt,BT-MC-210,210,1000,instances/mejor-caso-bt/BT-MC-210.txt
mejor-caso-bt,BT-MC-220,220,1000,instances/mejor-caso-bt/BT-MC-220.txt
mejor-caso-bt,BT-MC-230,230,1000,instances/mejor-caso-bt/BT-MC-230.txt
mejor-caso-bt,BT-MC-240,240,1000,instances/mejor-caso-bt/BT-MC-240.txt
mejor-caso-bt,BT-MC-250,250,1000,instances/mejor-caso-bt/BT-MC-250.txt
mejor-caso-bt,BT-MC-260,260,1000,instances/mejor-caso-bt/BT-MC-260.txt
mejor-caso-bt,BT-MC-270,270,1000,instances/mejor-caso-bt/BT-MC-270.txt
mejor-caso-bt,BT-MC-280,280,1000,instances/mejor-caso-bt/BT-MC-280.txt
mejor-caso-bt,BT-MC-290,290,1000,instances/mejor-caso-bt/BT-MC-290.txt
mejor-caso-bt,BT-MC-300,300,1000,instances/mejor-caso-bt/BT-MC-300.txt
mejor-caso-bt,BT-MC-310,310,1000,instances/mejor-caso-bt/BT-MC-310.txt
mejor-caso-bt,BT-MC-320,320,1000,instances/mejor-caso-bt/BT-MC-320.txt
mejor-caso-bt,BT-MC-330,330,1000,instances/mejor-caso-bt/BT-MC-330.txt
mejor-caso-bt,BT-MC-340,340,1000,instances/mejor-caso-bt/BT-MC-340.txt
mejor-caso-bt,BT-MC-350,350,1000,instances/mejor-caso-bt/BT-MC-350.txt
mejor-caso-bt,BT-MC-360,360,1000,instances/mejor-caso-bt/BT-MC-360.txt
mejor-caso-bt,BT-MC-370,370,1000,instances/mejor-caso-bt/BT-MC-370.txt
mejor-caso-bt,BT-MC-380,380,1000,instances/mejor-caso-bt/BT-MC-380.txt
mejor-caso-bt,BT-MC-390,390,1000,instances/mejor-caso-bt/BT-MC-390.txt
mejor-caso-bt,BT-MC-400,400,1000,instances/mejor-caso-bt/BT-MC-400.txt
mejor-caso-bt,BT-MC-410,410,1000,instances/mejor-caso-bt/BT-MC-410.txt
mejor-caso-bt,BT-MC-420,420,1000,instances/mejor-caso-bt/BT-MC-420.txt
mejor-caso-bt,BT-MC-430,430,1000,instances/mejor-caso-bt/BT-MC-430.txt
mejor-caso-bt,BT-MC-440,440,1000,instances/mejor-caso-bt/BT-MC-440.txt
mejor-caso-bt,BT-MC-450,450,1000,instances/mejor-caso-bt/BT-MC-450.txt
mejor-caso-bt,BT-MC-460,460,1000,instances/mejor-caso-bt/BT-MC-460.txt
mejor-caso-bt,BT-MC-470,470,1000,instances/mejor-caso-bt/BT-MC-470.txt
mejor-caso-bt,BT-MC-480,480,1000,instances/mejor-caso-bt/BT-MC-480.txt
mejor-caso-bt,BT-MC-490,490,1000,instances/mejor-caso-bt/BT-MC-490.txt
mejor-caso-bt,BT-MC-500,500,1000,instances/mejor-caso-bt/BT-MC-500.txt
mejor-caso-bt,BT-MC-510,510,1000,instances/mejor-caso-bt/BT-MC-510.txt
mejor-caso-bt,BT-MC-520,520,1000,instances/mejor-caso-bt/BT-MC-520.txt
mejor-caso-bt,BT-MC-530,530,1000,instances/mejor-caso-bt/BT-MC-530.txt
mejor-caso-bt,BT-MC-540,540,1000,instances/mejor-caso-bt/BT-MC-540.txt
mejor-caso-bt,BT-MC-550,550,1000,instances/mejor-caso-bt/BT-MC-550.txt
mejor-caso-bt,BT-MC-560,560,1000,instances/mejor-caso-bt/BT-MC-560.txt
mejor-caso-bt,BT-MC-570,570,1000,instances/mejor-caso-bt/BT-MC-570.txt
mejor-caso-bt,BT-MC-580,580,1000,instances/mejor-caso-bt/BT-MC-580.txt
mejor-caso-bt,BT-MC-590,590,1000,instances/mejor-caso-bt/BT-MC-590.txt
mejor-caso-bt,BT-MC-600,600,1000,instances/mejor-caso-bt/BT-MC-600.txt
