dataset,instance,n,m,file
peor-caso-bt,BT-PC-1,1,1,instances/peor-caso-bt/BT-PC-1.txt
peor-caso-bt,BT-PC-2,2,2,instances/peor-caso-bt/BT-PC-2.txt
peor-caso-bt,BT-PC-3,3,3,instances/peor-caso-bt/BT-PC-3.txt
peor-caso-bt,BT-PC-4,4,4,instances/peor-caso-bt/BT-PC-4.txt
peor-caso-bt,BT-PC-5,5,5,instances/peor-caso-bt/BT-PC-5.txt
peor-caso-bt,BT-PC-6,6,6,instances/peor-caso-bt/BT-PC-6.txt
peor-caso-bt,BT-PC-7,7,7,instances/peor-caso-bt/BT-PC-7.txt
peor-caso-bt,BT-PC-8,8,8,instances/peor-caso-bt/BT-PC-8.txt
peor-caso-bt,BT-PC-9,9,9,instances/peor-caso-bt/BT-PC-9.txt
peor-caso-bt,BT-PC-10,10,10,instances/peor-caso-bt/BT-PC-10.txt
peor-caso-bt,BT-PC-11,11,11,instances/peor-caso-bt/BT-PC-11.txt
peor-caso-bt,BT-PC-12,12,12,instances/peor-caso-bt/BT-PC-12.txt
peor-caso-bt,BT-PC-13,13,13,instances/peor-caso-bt/BT-PC-13.txt
peor-caso-bt,BT-PC-14,14,14,instances/peor-caso-bt/BT-PC-14.txt
peor-caso-bt,BT-PC-15,15,15,instances/peor-caso-bt/BT-PC-15.txt
peor-caso-bt,BT-PC-16,16,16,instances/peor-caso-bt/BT-PC-16.txt
peor-caso-bt,BT-PC-17,17,17,instances/peor-caso-bt/BT-PC-17.txt
peor-caso-bt,BT-PC-18,18,18,instances/peor-caso-bt/BT-PC-18.txt
peor-caso-bt,BT-PC-19,19,19,instances/peor-caso-bt/BT-PC-19.txt
peor-caso-bt,BT-PC-20,20,20,instances/peor-caso-bt/BT-PC-20.txt
peor-caso-bt,BT-PC-21,21,21,instances/peor-caso-bt/BT-PC-21.txt
peor-caso-bt,BT-PC-22,22,22,instances/peor-caso-bt/BT-PC-22.txt
peor-caso-bt,BT-PC-23,23,23,instances/peor-caso-bt/BT-PC-23.txt
peor-caso-bt,BT-PC-24,24,24,instances/peor-caso-bt/BT-PC-24.txt
peor-caso-bt,BT-PC-25,25,25,instances/peor-caso-bt/BT-PC-25.txt
peor-caso-bt,BT-PC-26,26,26,instances/peor-caso-bt/BT-PC-26.txt
peor-caso-bt,BT-PC-27,27,27,instances/peor-caso-bt/BT-PC-27.txt
peor-caso-bt,BT-PC-28,28,28,instances/peor-caso-bt/BT-PC-28.txt
peor-caso-bt,BT-PC-29,29,29,instances/peor-caso-bt/BT-PC-29.txt
peor-caso-bt,BT-PC-30,30,30,instances/peor-caso-bt/BT-PC-30.txt
